ID;dart;x;y;z
365;2812;-0.618719;0.216506;0.618718
535;4172;0.649519;-0;0.375
88;596;0.608762;0.25;-0.793353
34;164;0.965926;-0.25;-0.258819
32;148;0.756797;-0.125;-0.202783
380;2932;-0.476961;-0.125;0.621587
55;332;0.649519;0;-0.375
94;644;0.608762;-0.25;-0.793353
52;308;0.866025;0.25;-0.5
12;38;0.783494;0.125;0
11;36;0.776791;0.125;-0.102266
548;4276;0.723854;-0.125;0.29983
348;2676;-1.05353;-0.125;0.608253
148;1076;0;0.25;-1
104;724;0.391747;-0.125;-0.678525
69;444;0.694184;-0.216506;-0.532666
294;2244;-0.783494;0.125;0
114;804;0.29983;0.125;-0.723854
449;3484;0.11421;0.216506;0.867514
48;276;1.1239;-0.125;-0.465537
10;30;0.875;0.216506;0
231;1740;-0.892522;0.216506;-0.684857
473;3676;0.334848;0.216506;0.808394
17;60;0.867514;-0.216506;-0.11421
186;1380;-0.29983;0.125;-0.723854
44;244;0.723854;-0.125;-0.29983
25;98;1.20741;0;-0.323524
144;1044;0.158786;-0.125;-1.2061
139;1004;0.097895;0;-0.743584
200;1492;-0.391747;-0.125;-0.678525
62;388;0.965119;0.125;-0.740562
105;732;0.4375;-0.216506;-0.757772
145;1058;0;0;-1.25
106;740;0.5;-0.25;-0.866025
155;1132;0;-0.216506;-1.125
120;852;0.465537;-0.125;-1.1239
277;2114;-1.23931;0;-0.163158
35;172;1.08667;-0.216506;-0.291171
67;428;0.595015;0;-0.456571
24;86;1.21651;-0.125;-0
60;372;1.05352;-0.125;-0.608253
228;1716;-0.8602;-0.125;-0.8602
275;2092;-1.08667;-0.216506;-0.291171
56;340;0.678525;-0.125;-0.391747
7;20;0.991445;0.25;-0.130526
8;22;1;0.25;0
27;108;1.08667;0.216506;-0.291171
115;812;0.287013;0;-0.69291
20;70;1;-0.25;-0
253;1922;-1.15485;0;-0.478354
2;2;1.23931;0;-0.163158
375;2892;-0.684857;0.216506;0.892522
101;700;0.4375;0.216506;-0.757772
73;482;0.883883;0;-0.883884
223;1676;-0.53033;0;-0.53033
4;6;1.21651;0.125;0
460;3572;0.258819;0.25;0.965926
85;578;0.760952;0;-0.991691
452;3508;0.102266;-0.125;0.776791
235;1772;-0.595015;0;-0.456571
76;500;0.707107;0.25;-0.707107
1;1;1.25;0;0
49;290;1.08253;0;-0.625
239;1804;-0.892522;-0.216506;-0.684857
227;1708;-0.795495;-0.216506;-0.795495
58;356;0.866025;-0.25;-0.5
151;1100;0;0;-0.75
5;12;1.11538;0.216506;-0.146842
13;44;0.743584;0;-0.097895
51;300;0.974279;0.216506;-0.5625
177;1308;-0.226467;-0.216506;-0.845185
154;1124;0;-0.25;-1
61;386;0.991692;0;-0.760952
386;2980;-0.608253;0.125;1.05353
444;3444;0;-0.125;1.21651
87;588;0.684857;0.216506;-0.892522
485;3772;0.4375;0.216506;0.757772
496;3860;0.608761;0.25;0.793353
18;62;0.875;-0.216506;-0
459;3564;0.291171;0.216506;1.08667
530;4132;1.05352;0.125;0.608253
66;420;0.621587;0.125;-0.476961
22;78;1.125;-0.216506;-0
243;1836;-0.974278;0.216506;-0.5625
369;2844;-0.618719;-0.216506;0.618718
402;3108;-0.29983;0.125;0.723854
38;196;1.1239;0.125;-0.465537
269;2044;-0.845185;0.216506;-0.226467
301;2306;-1.23931;-0;0.163158
323;2476;-1.08667;-0.216506;0.291171
102;708;0.391747;0.125;-0.678525
146;1060;0;0.125;-1.21651
111;780;0.430519;0.216506;-1.03936
280;2132;-0.991445;0.25;-0.130526
533;4156;0.757772;0.216506;0.4375
136;980;0.130526;0.25;-0.991445
461;3580;0.226466;0.216506;0.845185
506;3940;0.860199;0.125;0.8602
513;3996;0.618718;-0.216506;0.618719
23;84;1.2061;-0.125;-0.158786
220;1652;-0.707107;0.25;-0.707107
193;1442;-0.625;0;-1.08253
43;236;0.69291;0;-0.287013
520;4052;0.793353;0.25;0.608761
209;1564;-0.532666;0.216506;-0.694184
424;3284;-0.130527;0.25;0.991445
