ID;dart
1152;4597
1151;4589
1150;4581
1149;4573
1147;4557
1145;4541
1144;4533
1141;4513
1140;4507
1139;4501
1138;4499
1137;4493
1136;4491
1134;4483
1132;4475
1131;4469
1129;4461
1127;4453
1126;4451
1124;4443
1123;4437
1119;4421
1117;4417
1113;4397
1110;4387
537;2093
1133;4477
534;2083
533;2077
274;1043
404;1563
96;331
1062;4195
521;2029
536;2091
161;589
516;2011
510;1987
509;1981
503;1957
50;147
489;1901
319;1221
487;1893
523;2037
354;1363
88;299
918;3619
1115;4405
531;2069
483;1877
482;1875
1010;3987
479;1861
478;1859
37;97
629;2461
477;1853
559;2181
1011;3989
475;1845
126;451
1057;4173
486;1891
178;659
208;779
467;1813
1054;4163
465;1805
1045;4129
463;1797
754;2963
841;3309
1073;4237
462;1795
461;1789
960;3787
456;1771
785;3085
535;2085
444;1723
442;1715
931;3669
703;2757
781;3073
437;1693
436;1691
435;1685
566;2211
434;1683
433;1677
345;1325
421;1633
391;1509
844;3323
885;3485
416;1611
264;1003
687;2693
412;1595
625;2445
512;1995
409;1581
130;467
524;2043
293;1117
408;1579
403;1557
764;3003
401;1549
1008;3979
795;3125
394;1523
365;1405
453;1757
387;1493
384;1483
896;3531
386;1491
273;1037
383;1477
923;3637
377;1453
698;2739
927;3653
13;31
1128;4459
374;1443
373;1441
594;2323
522;2035
508;1979
372;1435
163;597
371;1429
236;891
194;723
369;1421
367;1413
570;2227
153;557
469;1825
492;1915
385;1485
128;459
1109;4381
364;1403
359;1381
353;1357
350;1347
853;3361
349;1345
347;1333
876;3451
399;1541
1031;4069
344;1323
464;1803
81;269
390;1507
326;1251
342;1315
341;1309
340;1307
996;3931
339;1301
423;1637
987;3893
336;1291
335;1285
343;1317
491;1909
866;3411
332;1275
330;1267
329;1261
14;35
376;1451
295;1125
258;979
714;2803
325;1249
370;1427
321;1229
320;1227
751;2949
226;851
874;3443
455;1765
315;1205
314;1203
553;2157
1060;4187
702;2755
313;1197
909;3581
299;1141
762;2995
312;1195
306;1171
9;21
441;1709
175;645
393;1517
305;1165
413;1597
302;1155
300;1147
296;1131
388;1499
621;2429
297;1133
277;1057
427;1653
420;1627
966;3811
290;1107
575;2245
694;2723
1106;4371
288;1099
541;2113
610;2387
362;1395
647;2533
445;1729
167;613
520;2027
352;1355
474;1843
141;509
82;275
282;1075
304;1163
938;3699
281;1069
32;83
840;3307
870;3427
278;1059
750;2947
1027;4053
