ID;dart
575;4593
574;4585
570;4553
569;4545
568;4537
563;4497
559;4465
558;4457
557;4449
556;4441
553;4417
552;4409
550;4393
549;4385
548;4377
546;4361
545;4353
544;4345
543;4337
542;4329
387;3089
252;2009
249;1985
309;2465
242;1929
317;2529
348;2777
238;1897
170;1353
264;2105
166;1321
518;4137
233;1857
158;1257
12;89
231;1841
52;409
227;1809
217;1729
380;3033
190;1513
211;1681
210;1673
208;1657
293;2337
75;593
154;1225
501;4001
215;1713
130;1033
139;1105
203;1617
452;3609
202;1609
257;2049
131;1041
221;1761
198;1577
96;761
416;3321
196;1561
113;897
191;1521
262;2089
188;1497
531;4241
186;1481
175;1393
168;1337
145;1153
218;1737
182;1449
561;4481
448;3577
201;1601
247;1969
352;2809
174;1385
216;1721
159;1265
256;2041
209;1665
541;4321
189;1505
316;2521
236;1881
81;641
33;257
152;1209
140;1113
573;4577
67;529
254;2025
160;1273
187;1489
151;1201
150;1193
162;1289
147;1169
146;1161
225;1793
357;2849
197;1569
135;1073
134;1065
181;1441
43;337
133;1057
442;3529
132;1049
530;4233
136;1081
58;457
126;1001
547;4369
205;1633
53;417
155;1233
384;3065
437;3489
500;3993
228;1817
120;953
117;929
51;401
230;1833
87;689
105;833
123;977
38;297
478;3817
245;1953
551;4401
100;793
539;4305
244;1945
565;4513
226;1801
229;1825
35;273
148;1177
32;249
59;465
31;241
363;2897
169;1345
78;617
318;2537
322;2569
13;97
193;1537
465;3713
40;313
57;449
370;2953
172;1369
92;729
200;1593
391;3121
367;2929
72;569
447;3569
246;1961
344;2745
393;3137
164;1305
422;3369
16;121
11;81
48;377
22;169
26;201
285;2273
366;2921
95;753
171;1361
44;345
86;681
480;3833
263;2097
272;2169
204;1625
165;1313
21;161
143;1137
93;737
511;4081
461;3681
250;1993
356;2841
63;497
91;721
128;1017
73;577
507;4049
239;1905
255;2033
195;1553
305;2433
103;817
97;769
466;3721
194;1545
253;2017
534;4265
45;353
567;4529
25;193
232;1849
137;1089
235;1873
56;441
505;4033
47;369
277;2209
9;65
2;9
28;217
474;3785
537;4289
489;3905
23;177
219;1745
220;1753
385;3073
192;1529
55;433
149;1185
1;1
142;1129
34;265
124;985
525;4193
179;1425
462;3689
60;473
243;1937
494;3945
241;1921
41;321
107;849
502;4009
248;1977
19;145
275;2193
266;2121
222;1769
15;113
207;1649
80;633
42;329
405;3233
475;3793
516;4121
163;1297
74;585
313;2497
234;1865
178;1417
65;513
39;305
110;873
223;1777
66;521
68;537
213;1697
101;801
555;4433
450;3593
495;3953
89;705
515;4113
69;545
36;281
212;1689
513;4097
70;553
240;1913
18;137
157;1249
471;3761
564;4505
167;1329
116;921
83;657
434;3465
84;665
199;1585
423;3377
332;2649
180;1433
24;185
61;481
267;2129
341;2721
483;3857
509;4065
560;4473
90;713
6;41
373;2977
283;2257
94;745
404;3225
99;785
173;1377
364;2905
106;841
111;881
138;1097
184;1465
280;2233
109;865
102;809
417;3329
121;961
114;905
496;3961
119;945
122;969
50;393
365;2913
294;2345
224;1785
214;1705
463;3697
258;2057
259;2065
260;2073
261;2081
265;2113
268;2137
269;2145
270;2153
20;153
431;3441
458;3657
271;2161
273;2177
276;2201
381;3041
369;2945
278;2217
279;2225
282;2249
479;3825
286;2281
287;2289
288;2297
289;2305
337;2689
112;889
421;3361
29;225
290;2313
291;2321
4;25
98;777
292;2329
388;3097
177;1409
295;2353
296;2361
335;2673
298;2377
508;4057
566;4521
299;2385
300;2393
301;2401
353;2817
302;2409
303;2417
304;2425
125;993
306;2441
5;33
307;2449
499;3985
310;2473
76;601
506;4041
141;1121
311;2481
312;2489
314;2505
571;4561
390;3113
54;425
82;649
315;2513
319;2545
176;1401
88;697
320;2553
237;1889
430;3433
161;1281
321;2561
323;2577
554;4425
324;2585
325;2593
415;3313
339;2705
326;2601
85;673
328;2617
251;2001
329;2625
330;2633
297;2369
420;3353
336;2681
37;289
472;3769
338;2697
79;625
538;4297
49;385
418;3337
343;2737
27;209
345;2753
346;2761
30;233
435;3473
349;2785
481;3841
517;4129
350;2793
144;1145
351;2801
354;2825
355;2833
358;2857
359;2865
62;489
360;2873
361;2881
368;2937
129;1025
77;609
371;2961
372;2969
374;2985
572;4569
375;2993
444;3545
476;3801
376;3001
449;3585
378;3017
382;3049
533;4257
379;3025
153;1217
383;3057
386;3081
389;3105
334;2665
392;3129
394;3145
395;3153
46;361
396;3161
397;3169
183;1457
377;3009
398;3177
529;4225
399;3185
400;3193
108;857
402;3209
411;3281
115;913
464;3705
340;2713
439;3505
406;3241
407;3249
408;3257
410;3273
347;2769
412;3289
413;3297
424;3385
425;3393
426;3401
512;4089
427;3409
428;3417
8;57
429;3425
432;3449
470;3753
433;3457
284;2265
436;3481
274;2185
486;3881
438;3497
281;2241
104;825
491;3921
440;3513
3;17
443;3537
7;49
64;505
445;3553
497;3969
446;3561
451;3601
453;3617
454;3625
455;3633
456;3641
457;3649
460;3673
342;2729
498;3977
467;3729
468;3737
185;1473
333;2657
469;3745
17;129
473;3777
477;3809
482;3849
490;3913
441;3521
487;3889
484;3865
576;4601
485;3873
488;3897
331;2641
71;561
414;3305
492;3929
401;3201
493;3937
503;4017
156;1241
504;4025
419;3345
10;73
459;3665
14;105
327;2609
510;4073
514;4105
308;2457
519;4145
520;4153
521;4161
522;4169
409;3265
523;4177
524;4185
526;4201
527;4209
562;4489
206;1641
118;937
127;1009
528;4217
532;4249
535;4273
536;4281
362;2889
403;3217
540;4313
